FUNC __main__.valgrind 61.2773 1590338500.3357 61.2773 1590338502.1217 0
FUNC __main__.mld 61.2266 1590338499.3258 61.2773 1590338499.3298 0
FUNC __main__.normal 61.2773 1590338499.8306 61.2773 1590338499.8348 0
CMDLINE /usr/bin/python test.py
MEM 0.003906 1590338498.5464
MEM 11.679688 1590338498.6515
MEM 17.570312 1590338498.7521
MEM 27.695312 1590338498.8571
MEM 36.285156 1590338498.9577
MEM 43.492188 1590338499.0582
MEM 54.515625 1590338499.1588
MEM 60.191406 1590338499.2593
MEM 61.277344 1590338499.3597
MEM 61.277344 1590338499.4601
MEM 61.277344 1590338499.5604
MEM 61.277344 1590338499.6612
MEM 61.277344 1590338499.7623
MEM 61.277344 1590338499.8626
MEM 61.277344 1590338499.9629
MEM 61.277344 1590338500.0632
MEM 61.277344 1590338500.1635
MEM 61.277344 1590338500.2643
MEM 61.277344 1590338500.3648
MEM 61.277344 1590338500.4654
MEM 61.277344 1590338500.5660
MEM 61.277344 1590338500.6665
MEM 61.277344 1590338500.7671
MEM 61.277344 1590338500.8677
MEM 61.277344 1590338500.9682
MEM 61.277344 1590338501.0688
MEM 61.277344 1590338501.1693
MEM 61.277344 1590338501.2699
MEM 61.277344 1590338501.3705
MEM 61.277344 1590338501.4711
MEM 61.277344 1590338501.5716
MEM 61.277344 1590338501.6722
MEM 61.277344 1590338501.7727
MEM 61.277344 1590338501.8732
MEM 61.277344 1590338501.9738
MEM 61.277344 1590338502.0744
MEM 61.277344 1590338502.1746
